epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.8315,0.7952,4.34609,1.29949,0,0,0,0,1.69862,3.75944,2.75347,0,0,0
1,1.75575,0.7952,4.34609,1.29949,0,0,0,0,1.69862,3.75944,2.75347,0,0,0
1,1.20331,0.7952,4.34609,1.29949,0,0,0,0,1.69862,3.75944,2.75347,0,0,0
